APP,1.0
EGFR,0.7071067811865475
MYC,0.5773502691896258
ESR1,0.5
TP53,0.4472135954999579
SRC,0.4082482904638631
FN1,0.3779644730092272
MDM2,0.35355339059327373
EP300,0.3333333333333333
BRCA1,0.31622776601683794
SMAD3,0.30151134457776363
ESR2,0.2886751345948129
BAG3,0.2773500981126146
ERBB2,0.2672612419124244
VCAM1,0.2581988897471611
BTRC,0.25
AR,0.24253562503633297
NEDD4,0.23570226039551587
PRKCA,0.22941573387056174
CDKN1A,0.22360679774997896
SOX2,0.2182178902359924
SFN,0.21320071635561041
ENO1,0.20851441405707477
JUN,0.20412414523193154
RB1,0.2
VIM,0.19611613513818404
CDK1,0.19245008972987526
AURKA,0.1889822365046136
LCK,0.18569533817705186
ACTA1,0.18257418583505536
SYK,0.1796053020267749
ADRB2,0.17677669529663687
ALB,0.17407765595569785
MAPK8,0.17149858514250882
MCM7,0.1690308509457033
REL,0.16666666666666666
TRAF1,0.1643989873053573
CAV1,0.16222142113076254
MET,0.16012815380508713
KAT2B,0.15811388300841897
NEDD4L,0.15617376188860607
NOTCH1,0.1543033499620919
PLK1,0.15249857033260467
GAPDH,0.15075567228888181
TGFBR1,0.14907119849998599
BMI1,0.14744195615489714
ATF2,0.14586499149789456
NR3C1,0.14433756729740646
TCF4,0.14285714285714285
CDH1,0.1414213562373095
DLG4,0.14002800840280097
TRIP6,0.1386750490563073
FOS,0.13736056394868904
RAD21,0.13608276348795434
STAT1,0.13483997249264842
TK1,0.1336306209562122
HRAS,0.13245323570650439
IKBKE,0.13130643285972254
IKBKB,0.13018891098082389
JAK2,0.12909944487358055
MAP3K1,0.12803687993289598
TFAP2A,0.1270001270001905
LGALS3,0.1259881576697424
KIT,0.125
PAK1,0.12403473458920847
APC,0.12309149097933272
HDAC4,0.12216944435630522
NCOR1,0.12126781251816648
BTK,0.1203858530857692
EZH2,0.11952286093343936
PIK3R3,0.11867816581938533
TGFB1,0.11785113019775793
FHL2,0.11704114719613057
PPARG,0.11624763874381928
EIF2AK2,0.11547005383792514
RARA,0.11470786693528087
WWOX,0.11396057645963795
FASLG,0.11322770341445956
SMURF2,0.1125087900926024
KPNA2,0.11180339887498948
AURKB,0.1111111111111111
GJA1,0.11043152607484653
DISC1,0.10976425998969035
ERBB3,0.1091089451179962
BCL6,0.10846522890932808
PLAUR,0.10783277320343841
E2F3,0.10721125348377948
INSR,0.10660035817780521
NCOA3,0.105999788000636
A2M,0.10540925533894598
E2F1,0.10482848367219183
PLSCR1,0.10425720702853739
YES1,0.10369516947304253
PRKCB,0.10314212462587934
CDC20,0.10259783520851541
ICAM1,0.10206207261596577
LRP1,0.10153461651336192
HCK,0.10101525445522107
TP73,0.10050378152592121
PDGFRB,0.1
ATM,0.09950371902099892
IGF1R,0.09901475429766744
BAG2,0.09853292781642932
COL1A1,0.09805806756909202
SKP2,0.09759000729485333
FAS,0.09712858623572641
WAS,0.09667364890456635
TP63,0.09622504486493763
CHEK2,0.09578262852211514
STAT5A,0.09534625892455924
TNFRSF1B,0.0949157995752499
BCAR1,0.0944911182523068
HIF1A,0.09407208683835973
TGFBR2,0.0936585811581694
SPRY2,0.09325048082403138
PTPN1,0.09284766908852593
TFAP2C,0.09245003270420485
TUBB3,0.09205746178983235
PIK3CA,0.09166984970282113
NOS2,0.09128709291752768
CDK6,0.09090909090909091
CCNB1,0.09053574604251853
SKIL,0.09016696346674323
NR4A1,0.08980265101338746
KRT18,0.08944271909999159
NCOA2,0.0890870806374748
CD44,0.08873565094161139
CTBP2,0.08838834764831843
TP53BP2,0.08804509063256238
ZAP70,0.08770580193070293
NFKB2,0.0873704056661038
LGALS9,0.08703882797784893
CCNA2,0.086710996952412
HIST2H2BE,0.08638684255813601
HDAC11,0.08606629658238704
CD4,0.08574929257125441
FGFR1,0.0854357657716761
ETS1,0.08512565307587486
PBK,0.08481889296799709
CCND1,0.08451542547285165
THBS1,0.0842151921066519
CLU,0.08391813582966891
PRKCE,0.08362420100070908
TLE1,0.08333333333333333
CBX8,0.08304547985373997
DDX21,0.0827605888602368
KDR,0.08247860988423225
DAB2,0.08219949365267865
MAP3K5,0.08192319205190406
MCM6,0.08164965809277261
SGK1,0.08137884587711594
ECT2,0.08111071056538127
RBL1,0.08084520834544433
VDR,0.08058229640253803
MED1,0.08032193289024989
LMO2,0.08006407690254357
SIRT6,0.07980868844676221
ACTA2,0.079555728417573
RCC1,0.07930515857181442
MCM5,0.07905694150420949
ITGB3,0.07881104062391006
TFRC,0.07856742013183861
WWP1,0.07832604499879574
IFI16,0.07808688094430304
RUNX1,0.0778498944161523
MCM4,0.07761505257063328
DCN,0.07738232325341368
ITGAV,0.07715167498104596
ITGB2,0.07692307692307693
FBLN1,0.07669649888473704
OPTN,0.07647191129018725
DOK1,0.07624928516630233
PTPRC,0.07602859212697055
MVP,0.07580980435789034
POU2F1,0.07559289460184544
GTF2I,0.07537783614444091
NRIP1,0.07516460280028289
PTN,0.07495316889958614
ERBB4,0.07474350927519359
LGALS1,0.07453559924999299
CDH2,0.07432941462471664
BRCA2,0.07412493166611012
SPP1,0.07392212709545729
COL2A1,0.07372097807744857
GRIN1,0.07352146220938077
HOXA1,0.07332355751067665
MBP,0.07312724241271307
NTRK1,0.07293249574894728
EPAS1,0.07273929674533079
ARNT2,0.07254762501100116
CCNE1,0.07235746052924216
CCNA1,0.07216878364870323
CDKN1B,0.07198157507486945
MMP2,0.07179581586177382
CRMP1,0.0716114874039433
MNDA,0.07142857142857142
HDAC9,0.07124704998790965
