BRCA1,CCNB1
BRCA1,NCOA2
BRCA1,UBE2E3
BRCA1,STAT1
BRCA1,AR
BRCA1,NMI
BRCA1,JUN
BRCA1,CCND1
BRCA1,MED1
BRCA1,RBBP8
BRCA1,ESR1
BRCA1,ATM
BRCA1,BACH1
BRCA1,MYC
BRCA1,TP53
BRCA1,BRCA2
BRCA1,FANCA
BRCA1,FHL2
BRCA1,BRIP1
BRCA1,ZNF350
BRCA1,RB1
BRCA1,LMO4
BRCA1,CHEK2
BRCA1,FANCD2
BRCA1,ACACA
BRCA1,EP300
LMNA,BRCA2
LMNA,E2F3
LMNA,WWOX
LMNA,BRIP1
LMNA,DNAJC1
LMNA,ACE
LMNA,TPX2
LMNA,TAGLN2
LMNA,TOP2A
LMNA,VRK2
LMNA,ZNF280C
LMNA,PDLIM3
LMNA,CTTN
LMNA,FHL1
LMNA,LRRC59
LMNA,GTF2A1
LMNA,FASN
LMNA,RIF1
LMNA,SCML2
LMNA,MKI67
LMNA,ALDH3A2
LMNA,FAM169A
LMNA,SLC25A6
LMNA,LBR
LMNA,MASTL
LMNA,NUP155
LMNA,ANLN
LMNA,GZMB
LMNA,GZMA
LMNA,SNAI1
LMNA,HSF1
LMNA,LATS2
LMNA,SMAD3
LMNA,NUP153
LMNA,PASK
LMNA,STAC
LMNA,UNC13D
LMNA,MRPS26
LMNA,PYGM
LMNA,PRKDC
LMNA,SH3KBP1
LMNA,SVIL
LMNA,SIRT7
LMNA,ESR1
LMNA,KCTD12
LMNA,EEF1D
LMNA,ROCK2
LMNA,KIAA0196
LMNA,FN1
LMNA,MCM7
LMNA,LRRK2
LMNA,ITGA4
LMNA,VAV1
LMNA,MDM2
LMNA,PARK2
LMNA,CCDC8
LMNA,ENO1
LMNA,SIRT6
LMNA,TP53
LMNA,BDKRB2
LMNA,OBSL1
LMNA,EGFR
LMNA,DUSP13
LMNA,CASP1
LMNA,SUN2
LMNA,FOS
LMNA,EGF
LMNA,FYCO1
LMNA,MME
LMNA,LIMK2
LMNA,IRAK1
LMNA,LMNB2
LMNA,FLNA
LMNA,PCGF2
LMNA,CDH1
LMNA,PRKCA
LMNA,ZNF239
LMNA,ALOX12
LMNA,VCAM1
LMNA,MYC
LMNA,YWHAZ
LMNA,LMNB1
LMNA,RB1
LMNA,TMPO
LMNA,SYNE1
LMNA,SREBF1
IRAK1,MAPK8
IRAK1,NTRK3
IRAK1,RIPK2
IRAK1,HRAS
IRAK1,JUN
IRAK1,MBP
IRAK1,RCAN1
IRAK1,BTRC
IRAK1,SARM1
IRAK1,TLR9
IRAK1,MAGED1
IRAK1,BAG3
IRAK1,TNFAIP3
IRAK1,SASH1
IRAK1,CCDC8
IRAK1,CAV1
IRAK1,STAT1
IRAK1,TRAF4
IRAK1,BTK
IRAK1,NLRP12
IRAK1,UNC93B1
IRAK1,IL1RL1
IRAK1,BAG2
IRAK1,STUB1
IRAK1,SLC2A1
IRAK1,RCN1
IRAK1,CALU
IRAK1,SLC7A5
IRAK1,SLC25A10
IRAK1,MYC
IRAK1,TLR2
IRAK1,ITGAM
IRAK1,PRKCZ
IRAK1,TIFA
IRAK1,TLR4
IRAK1,IRAK1BP1
IRAK1,IKBKB
IRAK1,IL1RAP
IRAK1,IL1R1
IRAK1,IRF7
IRAK1,IRAK2
IRAK1,IRAK3
IRAK1,PELI3
IRAK1,PELI1
IRAK1,PELI2
MAPK8,ELK3
MAPK8,NFE2
MAPK8,HSF4
MAPK8,NCOA3
MAPK8,MAPT
MAPK8,EP300
MAPK8,IL27RA
MAPK8,RET
MAPK8,MAP1B
MAPK8,PPARG
MAPK8,YWHAZ
MAPK8,TP73
MAPK8,MSN
MAPK8,BMF
MAPK8,CASP10
MAPK8,TNFRSF10B
MAPK8,HSF1
MAPK8,NR4A1
MAPK8,BAD
MAPK8,SCAND1
MAPK8,ZNF219
MAPK8,CCDC88C
MAPK8,NFATC2
MAPK8,HSD17B4
MAPK8,MKNK2
MAPK8,ATE1
MAPK8,GFPT1
MAPK8,HIVEP1
MAPK8,ID2
MAPK8,RPLP2
MAPK8,GUCY1A3
MAPK8,CDT1
MAPK8,HRAS
MAPK8,RB1
MAPK8,KCNAB3
MAPK8,IRF3
MAPK8,SPI1
MAPK8,JDP2
MAPK8,MAPK8IP2
MAPK8,SMAD3
MAPK8,FAS
MAPK8,FASLG
MAPK8,ETV1
MAPK8,NR3C1
MAPK8,HDAC9
MAPK8,DAB2
MAPK8,FLNB
MAPK8,CDKN1B
MAPK8,PRKDC
MAPK8,PAX2
MAPK8,APP
MAPK8,SPIB
MAPK8,VRK2
MAPK8,SUN2
MAPK8,TKT
MAPK8,BCAR1
MAPK8,NFATC4
MAPK8,PRKD1
MAPK8,DUSP16
MAPK8,PDPK1
MAPK8,PKMYT1
MAPK8,MAP3K2
MAPK8,CDKN1A
MAPK8,REL
MAPK8,KRT8
MAPK8,SH3BP5
MAPK8,DUSP8
MAPK8,EGFR
MAPK8,WDR62
MAPK8,CBL
MAPK8,PIK3R1
MAPK8,WWOX
MAPK8,RPS6KB1
MAPK8,DUSP4
MAPK8,DUSP10
MAPK8,MAP3K1
MAPK8,TP53
MAPK8,MYC
MAPK8,IRS1
MAPK8,GSTP1
MAPK8,MAPK8IP1
MAPK8,MAPK8IP3
MAPK8,MAP2K4
MAPK8,ATF2
MAPK8,JUN
BRCA2,NEDD4
BRCA2,CCNE1
BRCA2,BACH1
BRCA2,KIF4A
BRCA2,SKP2
BRCA2,MAGED1
BRCA2,PSMD3
BRCA2,FYN
BRCA2,MLF1
BRCA2,VPS28
BRCA2,CCNA2
BRCA2,RAD51C
BRCA2,RAD21
BRCA2,AURKB
BRCA2,CDC45
BRCA2,STAT5A
BRCA2,FANCE
BRCA2,ATM
BRCA2,BUB1B
BRCA2,DMC1
BRCA2,FLNA
BRCA2,C11orf30
BRCA2,SMAD3
BRCA2,CHEK2
BRCA2,XRCC3
BRCA2,KAT2B
BRCA2,PLK1
BRCA2,TP53
BRCA2,HMG20B
BRCA2,FANCD2
E2F3,HSPA6
E2F3,ACADS
E2F3,PRKDC
E2F3,MYO1B
E2F3,GPD2
E2F3,RPS3
E2F3,L3MBTL3
E2F3,ATAD3A
E2F3,NCAPG
E2F3,AGPAT5
E2F3,SLC25A10
E2F3,GPAM
E2F3,DHCR7
E2F3,SUN2
E2F3,CPT1A
E2F3,SLC25A6
E2F3,SLC25A4
E2F3,SLC2A1
E2F3,TCF7L2
E2F3,LBR
E2F3,RHOT2
E2F3,KAT2A
E2F3,CCDC9
E2F3,NOTCH3
E2F3,TNXB
E2F3,MYO6
E2F3,KRT14
E2F3,WRN
E2F3,SMARCA1
E2F3,ZNF300
E2F3,PGAP1
E2F3,SCD
E2F3,PCLO
E2F3,HLTF
E2F3,DDX21
E2F3,DOCK8
E2F3,ALB
E2F3,TFRC
E2F3,CCNA2
E2F3,CDK3
E2F3,SPIB
E2F3,MGA
E2F3,TFDP3
E2F3,RNF144A
E2F3,FHL2
E2F3,CCNB1
E2F3,MCM4
E2F3,ATAD2
E2F3,HELLS
E2F3,BCL6
E2F3,RBL1
E2F3,MYBL2
E2F3,RB1
HSPA6,STUB1
HSPA6,CISH
HSPA6,TP53
HSPA6,CYP4F12
HSPA6,ADCK5
HSPA6,CBL
HSPA6,PARD3
HSPA6,ESR2
HSPA6,REL
HSPA6,NOS2
HSPA6,POC1A
HSPA6,VASH1
HSPA6,RPS6KB2
HSPA6,CCNI2
HSPA6,DNAJA4
HSPA6,DNAJB5
HSPA6,RIPK2
HSPA6,MAP3K1
HSPA6,TNFRSF1B
HSPA6,NFKB2
HSPA6,RELB
HSPA6,DNAJB4
ACADS,IRF7
PRKDC,RBBP8
PRKDC,PTER
PRKDC,TREX1
PRKDC,MBP
PRKDC,HMGB2
PRKDC,CHEK2
PRKDC,JUN
PRKDC,NR3C1
PRKDC,HOXC4
PRKDC,APLF
PRKDC,RARA
PRKDC,POU2F1
PRKDC,MCM7
PRKDC,CHAF1A
PRKDC,OBSL1
PRKDC,BMI1
PRKDC,SIRT7
PRKDC,MCM4
PRKDC,MCM5
PRKDC,MCM6
PRKDC,GRK5
PRKDC,ARHGEF6
PRKDC,ESR2
PRKDC,CNN3
PRKDC,E4F1
PRKDC,NFKBIE
PRKDC,NOTCH1
PRKDC,GTF2I
PRKDC,ADRB2
PRKDC,FN1
PRKDC,NOS2
PRKDC,ATRX
PRKDC,PNKP
PRKDC,BAG3
PRKDC,PRKAA1
PRKDC,ITGA4
PRKDC,CTPS2
PRKDC,FOXRED2
PRKDC,MDM2
PRKDC,LGR4
PRKDC,CDK8
PRKDC,MED13
PRKDC,CCDC8
PRKDC,IKBKB
PRKDC,GZMB
PRKDC,KAT2A
PRKDC,PGR
PRKDC,NCF1
PRKDC,NCF4
PRKDC,NCF2
PRKDC,ETS1
PRKDC,ETV1
PRKDC,HIST1H1C
PRKDC,THRB
PRKDC,THRA
PRKDC,SPI1
PRKDC,RNF144A
PRKDC,RNF144B
PRKDC,HDAC11
PRKDC,AR
PRKDC,TOP2A
PRKDC,RIPK3
PRKDC,TNFRSF1B
PRKDC,MYC
PRKDC,RELB
PRKDC,EP300
PRKDC,TRADD
PRKDC,NFKB2
PRKDC,RAD21
PRKDC,EGFR
PRKDC,ESR1
PRKDC,HOXB7
PRKDC,LYN
PRKDC,SIRT6
PRKDC,HSF1
PRKDC,HIST1H3D
PRKDC,HIST1H3E
PRKDC,LRRK2
PRKDC,VCAM1
PRKDC,YWHAZ
PRKDC,ATM
PRKDC,TELO2
PRKDC,ERG
PRKDC,WRN
PRKDC,CIB1
PRKDC,TP53
MYO1B,EGFR
MYO1B,SIRT7
MYO1B,ATP6V1B1
MYO1B,CCDC8
MYO1B,DAPK1
MYO1B,RIPK3
MYO1B,MYC
MYO1B,BRF2
MYO1B,ESR1
MYO1B,LRRK2
GPD2,ALDOA
GPD2,SLC8A3
GPD2,PARK2
GPD2,MDM2
GPD2,SLC39A4
RPS3,SLC9A3R1
RPS3,RPLP2
RPS3,FBL
RPS3,RPL21
RPS3,RPL37A
RPS3,RPL18A
RPS3,TPM1
RPS3,MRPL23
RPS3,HIST1H2AD
RPS3,IL7R
RPS3,RPL18
RPS3,RPL23A
RPS3,RPL8
RPS3,RPL19
RPS3,RPS15
RPS3,CDK5RAP3
RPS3,CHAF1A
RPS3,CCDC8
RPS3,FOLH1
RPS3,ATP6V0D2
RPS3,MID1
RPS3,PCK1
RPS3,ESR1
RPS3,RAD21
RPS3,PARD3
RPS3,NOS2
RPS3,PBK
RPS3,PRKAA1
RPS3,IGSF8
RPS3,ICAM1
RPS3,CAMK1
RPS3,FN1
RPS3,ITGA4
RPS3,EIF2AK2
RPS3,FAU
RPS3,CDC20
RPS3,AURKA
RPS3,USE1
RPS3,RPS6KB2
RPS3,ESR2
RPS3,BTK
RPS3,RPL23
RPS3,TP53
RPS3,NFKB2
RPS3,TRAF1
RPS3,TNFRSF1B
RPS3,TRADD
RPS3,RPS6
RPS3,NDRG1
RPS3,LRRK2
RPS3,IKBKB
RPS3,RPL9
RPS3,RPS8
RPS3,RPS16
RPS3,RPS5
RPS3,VCAM1
RPS3,RPS2
RPS3,RPS20
RPS3,MDM2
RPS3,YWHAZ
DCBLD2,FYN
DCBLD2,EGFR
DCBLD2,PTPRK
DCBLD2,SEMA4B
FYN,PIK3R3
FYN,NOS1AP
FYN,RASA1
FYN,PRKCZ
FYN,PRKCH
FYN,PRKCE
FYN,CLTC
FYN,GRIN1
FYN,FLT1
FYN,STAT1
FYN,IL2RB
FYN,DOK1
FYN,SH2B2
FYN,DOK3
FYN,ITPR1
FYN,IRS1
FYN,ITGB4
FYN,CSF2RB
FYN,CD79A
FYN,FCGR2A
FYN,CD79B
FYN,CNN3
FYN,CNN1
FYN,TXK
FYN,HRAS
FYN,NEDD4
FYN,TYRO3
FYN,CNTN1
FYN,CAV1
FYN,WASF1
FYN,ENO1
FYN,TNNT1
FYN,CD55
FYN,HOXB5
FYN,TCAP
FYN,KCNJ3
FYN,FCER2
FYN,KCNA5
FYN,CD244
FYN,CDK1
FYN,SH3KBP1
FYN,PDE4D
FYN,EVL
FYN,CD48
FYN,FANCA
FYN,TDRD1
FYN,DKKL1
FYN,FLNA
FYN,DLGAP1
FYN,WIPF1
FYN,BMP8B
FYN,DOCK1
FYN,GPR63
FYN,GSTZ1
FYN,DOCK3
FYN,LTBP2
FYN,DAB2
FYN,LRBA
FYN,MAP4K1
FYN,ASAP2
FYN,DUSP15
FYN,SCARF2
FYN,NBEA
FYN,GAD1
FYN,RIMS1
FYN,CSMD2
FYN,RIN3
FYN,F2RL2
FYN,AKAP6
FYN,NFASC
FYN,C6
FYN,PKD1
FYN,MKI67
FYN,POLD1
FYN,TMPO
FYN,GABBR1
FYN,FLNC
FYN,SLC24A1
FYN,CNTFR
FYN,RIMS2
FYN,DNASE1L2
FYN,IL3RA
FYN,DLGAP3
FYN,SHANK3
FYN,WNK2
FYN,FAM110A
FYN,GUCY2D
FYN,CELSR3
FYN,RP1L1
FYN,NCKAP5
FYN,DNM3
FYN,FCGR2B
FYN,NEK8
FYN,EPB41L3
FYN,PRX
