V1	V2	V3	V4	V5
488	143	241	349	1892	4.48672165624968
489	146	241	349	392	4.48663665544802
490	168	349	531	1096	4.4865964844759
491	6	143	349	1011	4.48656614065013
492	6	143	349	916	4.48656578115257
493	143	152	349	2657	4.48654692518411
494	6	143	349	1287	4.48648059099168
495	6	146	349	376	4.48635699978899
496	6	143	349	2246	4.48633807589913
497	146	152	349	617	4.48632797378147
498	143	152	349	376	4.48631604446839
499	143	152	349	485	4.48627992518411
500	143	152	349	754	4.48612392518411
501	6	143	349	3173	4.48591824083146
502	6	146	349	3342	4.48585544245316
503	143	349	1096	1592	4.4852978711674
504	143	349	668	1319	4.4852039093955
505	152	349	899	1592	4.48518291745764
506	6	53	146	349	4.48507846969948
507	143	266	280	349	4.48507540218965
508	143	241	349	617	4.48493432500136
509	143	152	349	639	4.48484257054455
510	143	152	349	1895	4.48480842518411
511	143	152	349	913	4.48458192518411
512	6	143	349	546	4.48453649301869
513	119	143	152	349	4.48449701799734
514	146	168	349	2213	4.4844566450293
515	143	241	266	349	4.48442754541869
516	143	152	349	782	4.48428542518411
517	143	152	349	3360	4.48427167518411
518	143	152	349	1719	4.48421842518411
519	6	146	349	1046	4.48382294245316
520	6	143	349	938	4.48376753115257
521	86	143	152	349	4.48375492518411
522	143	152	349	3531	4.48374573142409
523	6	349	1083	1592	4.48368593600726
524	6	143	349	406	4.48368403115257
525	146	168	349	1028	4.48366556153905
526	6	143	349	415	4.48358444425894
527	143	152	349	750	4.48347967518411
528	146	168	349	376	4.48337637934403
529	146	168	349	939	4.48337138209059
530	143	152	349	4327	4.48333992518411
531	143	152	349	1374	4.48329692518411
532	143	241	349	3342	4.48318307500136
533	143	152	349	4992	4.48317817518411
534	146	314	349	1096	4.4831672937557
535	168	349	521	1592	4.4831375085115
536	668	815	1083	2246	4.48309970502385
537	280	349	1096	1532	4.48298458875325
538	6	280	349	1267	4.48294057357283
539	6	143	349	2614	4.48284628643339
540	280	349	1096	1267	4.48282543249117
541	143	152	349	725	4.48278092518411
542	6	143	349	487	4.48273303115257
543	139	146	152	349	4.48273172378147
544	6	280	349	1482	4.482560432194
545	56	152	241	349	4.48255696836912
546	143	310	349	1592	4.48250783821022
547	152	349	579	1592	4.48239916745764
548	6	143	349	485	4.48234678115257
549	143	152	349	867	4.48230704027998
550	6	146	211	349	4.48227119245316
551	143	241	349	879	4.48223582500136
552	241	280	349	1096	4.48220242678668
553	6	143	349	891	4.48219678115257
554	143	241	349	3799	4.48213513745336
555	143	152	349	661	4.48208967518411
556	203	241	349	668	4.48207646584579
557	143	241	349	2053	4.48204655322203
558	143	152	349	2114	4.48197442518411
559	6	146	349	1798	4.4819719950488
560	6	143	349	778	4.48181478115257
561	152	241	280	349	4.48179045697887
562	143	152	349	1532	4.4817032588338
563	280	349	392	411	4.48165549029881
564	6	152	349	1096	4.48145788552323
565	146	168	349	2107	4.48140266164191
566	6	146	289	349	4.48128019245316
567	152	349	1592	3773	4.48121738462745
568	6	143	349	559	4.48118403115257
569	6	143	349	661	4.48101928115257
570	146	152	349	1028	4.48100356131423
571	6	146	349	3023	4.48095069245316
572	168	349	1482	1592	4.48084840170219
573	6	143	156	349	4.48069978115257
574	143	241	349	3023	4.48062307500136
575	203	349	668	2246	4.48054352097513
576	152	349	1592	2213	4.48048574730381
577	143	152	349	390	4.48035392518411
578	146	349	668	1592	4.48033665175929
579	6	146	349	1319	4.48028069245316
580	203	349	668	1995	4.48025471550226
581	6	143	349	4286	4.48023578115257
582	168	349	668	1592	4.48022917028169
583	143	152	349	688	4.48016617518411
584	143	349	392	668	4.48004934884275
585	143	152	349	891	4.47989767518411
586	143	152	349	4286	4.47989167518411
587	6	203	349	1592	4.4798835717934
588	143	349	668	1984	4.4798106593955
589	6	146	349	359	4.47972755619808
590	146	168	349	899	4.47971738209059
591	247	349	668	2246	4.47955542537105
592	203	349	1083	1592	4.47943254563312
593	143	152	349	2493	4.47918817518411
594	6	146	290	349	4.47911694245316
595	6	143	349	1719	4.47899978115257
596	143	349	668	2054	4.4789251593955
597	143	241	349	916	4.47886882500136
598	53	349	668	1592	4.47877480643561
599	168	349	668	1083	4.47871160516341
600	143	203	349	994	4.47867751712713
601	143	349	1073	1083	4.47867563820581
602	152	349	617	1592	4.47863891745764
603	6	143	349	676	4.47856078115257
604	6	146	349	1984	4.47835044245316
605	143	152	349	1487	4.47823942518411
606	6	143	349	1728	4.47807678115257
607	152	349	1592	3342	4.47803616745764
608	6	143	157	349	4.47786753115257
609	143	152	349	875	4.47778867518411
610	139	152	349	1592	4.47769116745764
611	146	152	349	415	4.47764005655478
612	6	143	349	1648	4.47756990841973
613	6	143	349	3751	4.47749078115257
614	143	152	349	3665	4.47735442518411
615	143	349	668	3799	4.4773077218475
616	6	146	349	4611	4.47728794245316
617	143	152	319	349	4.47720242518411
618	146	241	349	1995	4.47703898114616
619	6	143	349	4327	4.47698903115257
620	6	146	349	564	4.47695467666585
621	143	152	349	3525	4.47686112988682
622	6	143	349	2434	4.47685028115257
623	143	152	349	2614	4.47679431830406
624	241	280	349	1267	4.47677635547435
625	6	143	232	349	4.47670878115257
626	72	203	349	668	4.47664213044298
627	146	152	349	3622	4.47657897378147
628	6	146	168	280	4.47657422443255
629	349	668	815	2246	4.47655604506379
630	280	349	392	1041	4.4765304822996
631	152	247	349	668	4.47647381341251
632	143	152	349	559	4.47643217518411
633	143	152	349	2040	4.47615542518411
634	146	168	349	579	4.47601763209059
635	168	241	349	1096	4.47590764957608
636	143	152	224	349	4.47588917518411
637	143	168	349	3773	4.47586473906983
638	143	152	349	1380	4.47584042518411
639	41	143	152	349	4.47579967518411
640	6	146	349	407	4.47576919245316
641	72	349	668	2246	4.47576095585456
642	6	143	349	813	4.47575328115257
643	143	168	349	1319	4.47563910543463
644	6	143	339	349	4.47555203115257
645	6	143	349	867	4.47530298221055
646	6	143	349	2866	4.47511103115257
647	82	146	152	349	4.47492586721697
648	143	152	349	778	4.47485017518411
649	143	146	349	2213	4.47484630734655
650	143	241	349	3360	4.47483432500136
651	152	222	349	1482	4.47473814319141
652	143	349	668	3023	4.4747361593955
653	146	152	349	1299	4.47469097378147
654	146	349	392	551	4.47469050274297
655	6	143	309	349	4.47468228115257
656	152	349	551	1592	4.4745029858215
657	6	146	349	1153	4.47449094245316
658	143	152	349	1607	4.47447167518411
659	6	146	189	349	4.47446869245316
660	6	143	349	842	4.47444578115257
661	146	280	349	1083	4.47442968297865
662	146	280	349	531	4.47437804842811
663	146	349	392	1028	4.47436965429114
664	146	349	1482	1592	4.47435016107574
665	152	168	280	349	4.47434132515889
666	152	349	1592	1669	4.47430317179486
667	146	168	349	551	4.47421792213761
668	146	349	1096	1204	4.47421099907922
669	143	152	349	2866	4.47418517518411
670	6	143	349	848	4.47417941122147
671	6	143	349	2054	4.47404003115257
672	6	143	349	4184	4.47395932918179
673	143	241	349	1153	4.47386582500136
674	143	349	668	1892	4.47381424064383
675	152	241	349	1482	4.47376906969229
676	170	349	668	1083	4.47374920924876
677	6	143	349	3360	4.47372678115257
678	143	310	349	1073	4.473697210668
679	143	241	349	551	4.47365383844427
680	146	152	189	349	4.47344497378147
681	143	152	349	731	4.47337692518411
682	6	143	349	656	4.47323928115257
683	143	241	349	1299	4.47321582500136
684	146	349	668	1482	4.47317648986508
685	143	152	349	2053	4.47309968742419
686	6	146	196	349	4.47300472042704
687	349	668	1096	1592	4.47298516553775
688	143	241	349	407	4.47294057500136
689	241	349	1073	2463	4.47292339996892
690	143	203	349	1669	4.4727845111569
691	6	146	168	521	4.47273574420833
692	143	152	349	2016	4.47271517518411
693	349	392	1096	1592	4.47262368193063
694	53	349	668	2184	4.4725994654005
695	143	152	349	4611	4.47259042518411
696	146	247	349	668	4.47256592456997
697	152	280	349	1482	4.47256188983966
698	146	152	349	994	4.47246722378147
699	146	152	349	1984	4.47246222378147
700	6	146	349	3191	4.47245869245316
701	143	152	349	1120	4.4724318689642
702	146	168	349	1120	4.47240247898275
703	6	143	349	882	4.47225803115257
704	143	241	349	1798	4.4719825860664
705	203	349	668	1669	4.47191807064081
706	6	146	349	3444	4.47190394245316
707	14	143	349	668	4.4719019093955
708	146	349	1096	2213	4.47177515169297
709	143	168	349	3173	4.47175508097253
710	53	668	1083	2184	4.47174237944208
711	6	146	349	465	4.47173494245316
712	6	222	241	349	4.47169152732042
713	146	152	266	349	4.47163094127557
714	146	168	349	3342	4.47159013209059
715	146	152	349	1153	4.47158497378147
716	6	143	349	1032	4.47150978115257
717	143	152	349	2159	4.47149792518411
718	143	152	349	4603	4.47148867518411
719	143	152	349	353	4.47143217518411
720	143	152	338	349	4.47141692518411
721	6	143	349	2040	4.47133678115257
722	280	349	392	1482	4.47133267200938
723	146	152	349	465	4.47125947378147
724	6	143	349	971	4.47111603115257
725	143	203	349	1653	4.47109242634923
726	143	349	579	668	4.4710324093955
727	143	349	668	3773	4.4710283858572
728	146	241	349	2213	4.4709620169801
729	143	152	349	2903	4.47088917518411
730	152	222	349	668	4.4708657835211
731	143	241	349	3235	4.47073107500136
732	143	241	349	782	4.47073007500136
733	143	152	316	349	4.47070992518411
734	6	143	349	1374	4.47065428115257
735	146	203	349	1083	4.47048359592276
736	146	152	349	1356	4.47046447378147
737	143	241	290	349	4.47045332500136
738	143	152	349	1397	4.47028817518411
739	143	152	349	938	4.47026042518411
740	247	349	668	2184	4.47023591014177
741	143	349	668	939	4.4701741593955
742	6	143	349	4343	4.47010753115257
743	143	280	349	1532	4.47010439724956
744	241	349	1083	2463	4.47009963927639
745	6	146	349	782	4.46996969245316
746	146	168	349	1653	4.46996263209059
747	152	349	415	1592	4.46994453934505
