V1	V2	V3	V4
309	6	146	280	2.23968677340314
310	146	349	939	2.23963133434695
311	170	668	1083	2.23948541111479
312	241	1073	2053	2.2394278305133
313	146	349	2334	2.23934858434695
314	349	1592	2246	2.23933791019164
315	46	146	349	2.23914983434695
316	143	335	349	2.23912030379433
317	152	349	1073	2.23909395175049
318	143	316	349	2.23882005379433
319	146	349	1653	2.23879983434695
320	280	349	668	2.23855937904979
321	152	241	1073	2.23853777477793
322	146	349	465	2.23849658434695
323	82	349	668	2.23848727513968
324	143	349	353	2.23832405379433
325	146	349	3191	2.23821183434695
326	143	349	2016	2.23819730379433
327	112	1073	2053	2.23816402413524
328	143	349	1380	2.23810180379433
329	146	349	2614	2.23786103537224
330	146	314	349	2.23770632709681
331	143	349	875	2.23763955379433
332	146	349	487	2.23761433434695
333	349	1592	1892	2.23750200323085
334	143	349	3371	2.23729705379433
335	146	290	349	2.23728883434695
336	146	349	1046	2.23725508434695
337	146	266	349	2.23723307775526
338	143	349	854	2.23720605379433
339	241	349	2339	2.23712899649314
340	143	349	4992	2.23711380379433
341	143	349	1345	2.23707605379433
342	143	349	1397	2.23693305379433
343	112	241	349	2.23691390843313
344	146	349	415	2.23691234677626
345	146	349	3173	2.23684277790829
346	143	349	2267	2.23682080379433
347	146	349	564	2.23676348203978
348	143	224	349	2.23669755379433
349	349	392	1482	2.23654296742073
350	349	668	2614	2.23643378050739
351	143	349	1607	2.23635330379433
352	143	349	1357	2.23630430379433
353	143	349	1719	2.23629205379433
354	143	349	1262	2.23627080379433
355	143	349	359	2.23622534429535
356	6	143	280	2.23620742905407
357	143	349	546	2.23617176566045
358	143	349	787	2.23615255379433
359	146	349	1356	2.23613283434695
360	143	349	615	2.23603755379433
361	119	146	349	2.23603117365177
362	143	349	754	2.23543780379433
363	310	668	1083	2.23543040466896
364	143	349	1843	2.23533030379433
365	146	349	1607	2.23529133434695
366	241	349	410	2.23527569187022
367	349	939	1592	2.23522452537374
368	146	349	1863	2.23513439338264
369	146	349	1532	2.2351226953539
370	349	487	1592	2.23511880880401
371	668	2184	2246	2.23488703297868
372	222	349	392	2.23483422653948
373	146	349	1667	2.23483358300858
374	143	349	750	2.23458805379433
375	349	1299	1592	2.23451930880401
376	141	668	1083	2.23447998189942
377	241	310	349	2.23436216001897
378	349	1592	1653	2.23418530880401
379	143	349	659	2.23406105379433
380	668	1083	2734	2.23402338224402
381	143	349	390	2.23398355379433
382	143	341	349	2.23397580379433
383	349	564	1096	2.23388098377699
384	143	179	349	2.23371805379433
385	53	146	349	2.23366987995923
386	203	349	1083	2.23333860507362
387	241	349	415	2.23333182370867
388	143	349	4019	2.23328080379433
389	146	349	2054	2.23325933434695
390	143	349	1350	2.23319830379433
391	349	392	1028	2.23314505970275
392	143	349	639	2.23306219915477
393	146	349	1287	2.23301626784908
394	349	395	668	2.23287891930315
395	143	152	241	2.23285878207805
396	143	349	731	2.23279380379433
397	143	349	793	2.2326459619003
398	143	349	1176	2.23260155379433
399	349	1319	1592	2.23253405880401
400	143	349	4603	2.23251605379433
401	143	349	4286	2.23237080379433
402	6	349	551	2.23225340718124
403	143	349	2903	2.23218655379433
404	46	349	1592	2.23211530880401
405	146	349	1418	2.23208178067886
406	143	349	402	2.23207280379433
407	349	392	1267	2.23186351449312
408	668	1083	3323	2.23183312734188
409	143	349	1374	2.23170305379433
410	349	668	710	2.23161770659164
411	143	349	1648	2.23161050937352
412	143	349	891	2.23148230379433
413	143	349	4327	2.23147280379433
414	146	349	754	2.23142408434695
415	349	1153	1592	2.23140805880401
416	349	407	1592	2.23123755880401
417	143	202	349	2.23109680379433
418	349	1592	3191	2.23104455880401
419	143	349	3665	2.23102605379433
420	152	349	392	2.23078326628871
421	349	1592	2614	2.2307406405804
422	146	287	349	2.23072308434695
423	403	668	1083	2.2306469167151
424	349	719	1096	2.23061931985638
425	349	465	1592	2.23031530880401
426	143	152	168	2.23021072339885
427	143	349	4611	2.23015530379433
428	143	349	2866	2.23013505379433
429	6	11	349	2.23004638175451
430	143	349	778	2.23003305379433
431	177	241	349	2.23000711650395
432	349	415	1592	2.22997861034743
433	143	349	1863	2.22996711492306
434	146	349	842	2.22986108434695
435	349	1046	1592	2.22985655880401
436	146	349	813	2.22979358434695
437	266	349	1592	2.22978238530564
438	349	1007	1592	2.22975995822727
439	222	349	1083	2.22955218152745
440	143	349	1170	2.22954580379433
441	143	349	3097	2.22953430379433
442	146	349	1313	2.22938083434695
443	146	349	2332	2.22929108434695
444	349	842	1592	2.22917355880401
445	349	1592	1728	2.22917030880401
446	349	1592	1984	2.22909180880401
447	143	349	711	2.22904105379433
448	143	152	310	2.22897864864387
449	143	349	3916	2.22894255379433
450	143	349	1857	2.22894205379433
451	349	739	1592	2.22873905880401
452	349	1592	2334	2.22867280880401
453	189	349	1592	2.22860705880401
454	146	349	782	2.22854983434695
455	143	349	1253	2.22850387658934
456	143	349	372	2.22835605379433
457	143	349	1231	2.22827230379433
458	53	349	1592	2.22817472307161
459	146	349	879	2.22810408434695
460	222	349	1096	2.22809113700338
461	241	349	1995	2.22804942404159
462	143	195	349	2.22799655954099
463	143	349	2392	2.22796630379433
464	146	349	3235	2.22796183434695
465	143	349	1591	2.22791955379433
466	143	349	656	2.22789405379433
467	146	349	543	2.22787408434695
468	146	349	4611	2.22776558434695
469	143	182	349	2.22772170283863
470	146	211	349	2.22761808434695
471	143	349	406	2.22752980379433
472	349	813	1592	2.22750855880401
473	143	349	3045	2.22748655379433
474	143	349	3914	2.22739655379433
475	143	349	559	2.22739230379433
476	349	392	551	2.2272668314598
477	143	349	2159	2.22719430379433
478	146	316	349	2.22714308434695
479	143	349	2332	2.22698680379433
480	146	319	349	2.22688958434695
481	349	1592	1607	2.22685930880401
482	349	1083	1995	2.22680065809316
483	349	1096	1267	2.22674214715281
484	146	349	3521	2.22669758434695
485	289	349	1592	2.22660030880401
486	143	349	1969	2.22648777915841
487	146	349	639	2.22647192667493
488	11	280	349	2.22621069198056
489	280	349	411	2.22618553202267
490	146	193	349	2.22607639635432
491	152	349	3773	2.22602476433563
492	143	349	2997	2.22597380379433
493	146	299	349	2.22589533434695
494	143	349	676	2.22576405379433
495	143	339	349	2.22573805379433
496	152	349	1669	2.22573548431814
497	349	1592	1798	2.22551779111354
498	143	349	867	2.22526250485232
499	6	168	521	2.22521351168495
500	143	349	1503	2.22512624177362
501	143	349	1351	2.22504005379433
502	170	349	668	2.22503938366526
503	143	349	1159	2.22498630379433
504	146	349	739	2.22485558434695
505	146	349	1798	2.22482683434695
506	310	1073	2053	2.22480327150691
507	146	349	390	2.22471583434695
508	143	349	2787	2.22468880379433
509	146	349	4992	2.22467458434695
510	143	668	1083	2.22453739006787
511	146	349	2320	2.22440808434695
512	349	668	3773	2.22435660887781
513	143	349	3769	2.22395105379433
514	143	349	1032	2.22382580379433
515	143	349	3601	2.22381405379433
516	146	168	280	2.22380958191904
517	143	349	938	2.22380155379433
518	349	1592	3235	2.22379905880401
519	146	349	1719	2.22376033434695
520	349	1592	3799	2.22375221141714
521	280	349	2463	2.22370235935359
522	349	392	1041	2.22356262938911
523	143	349	497	2.22350730379433
524	6	349	2463	2.2233984422972
525	146	349	3387	2.22337058434695
526	156	349	1592	2.22333005880401
527	290	349	1592	2.22330730880401
528	143	232	349	2.22327430379433
529	143	349	2434	2.22292980379433
530	146	349	1204	2.22287334688119
531	143	326	349	2.22284763272535
532	143	349	462	2.22248205379433
533	143	349	655	2.22232705379433
534	146	349	2806	2.22227983434695
535	349	782	1592	2.22224730880401
536	146	349	3074	2.22223308434695
537	146	349	916	2.22214783434695
538	152	349	2299	2.22212130547456
539	152	349	3401	2.22210033734993
540	105	143	349	2.22208921791844
541	146	157	349	2.22205633434695
542	349	1592	2040	2.22201005880401
543	349	668	994	2.22195234756268
544	62	143	349	2.22193580379433
545	143	349	1006	2.22179080379433
546	280	411	1096	2.22166173115251
547	280	349	551	2.22154511085192
548	146	349	913	2.22150958434695
549	143	349	4783	2.22147805379433
550	349	1592	4343	2.22129505880401
551	349	1096	1532	2.22119779638013
552	112	241	1073	2.22115789546761
553	349	1592	2054	2.22114180880401
554	349	1592	2320	2.22113780880401
555	143	251	349	2.22113030379433
556	349	668	1073	2.22104518832186
557	143	349	2974	2.22102480379433
558	203	349	1995	2.22099476874014
559	143	349	3396	2.22087455379433
560	146	349	1007	2.22087283434695
561	193	349	1096	2.22066287492559
562	143	349	977	2.22055830379433
563	146	349	725	2.22040933434695
564	349	668	2054	2.22027209756268
565	143	349	3271	2.22026730379433
566	168	177	349	2.22021851057836
567	143	349	2789	2.22017905379433
568	146	349	977	2.22014983434695
569	146	349	4343	2.22008858434695
570	143	349	690	2.22008805379433
571	143	349	3296	2.21991155379433
572	146	349	4327	2.21980283434695
573	143	349	1070	2.21975480379433
574	349	668	3023	2.21970634756268
575	143	349	1011	2.21967991497527
576	72	152	349	2.21960505693402
577	280	349	1532	2.21955043796566
578	168	203	349	2.21951163139594
579	349	543	1592	2.21949955880401
580	143	349	2107	2.21936216801425
581	146	349	485	2.21933283434695
582	119	349	668	2.21928518553585
583	152	349	708	2.21923964874089
584	241	349	1285	2.21923534003245
585	143	349	2138	2.21903305379433
586	668	1083	1413	2.21902816448143
587	177	349	668	2.21897488973988
588	241	310	1073	2.21897423408793
589	152	349	415	2.21896825315872
590	349	1267	1482	2.21896587041793
591	30	146	349	2.21889158434695
592	146	349	738	2.21888908434695
593	143	349	4410	2.21886180379433
594	146	349	2100	2.21885858434695
595	146	349	1032	2.21883933434695
596	143	349	662	2.21878230379433
597	146	349	546	2.21877346271751
598	668	1083	3065	2.21876370573501
599	143	349	1670	2.21874355379433
600	146	349	875	2.21860283434695
601	241	349	2154	2.21856733120013
602	146	349	3579	2.21853358434695
603	146	337	349	2.21848783434695
604	6	326	349	2.21848206453749
605	668	1073	1083	2.21842230855207
606	349	1592	1719	2.21830480880401
607	143	349	2153	2.21827255379433
608	143	349	1400	2.21823630379433
609	143	349	1064	2.21822155379433
610	132	143	349	2.21819630379433
611	143	349	2931	2.21797780379433
612	104	143	349	2.21793133192
613	349	1418	1592	2.21791685750601
614	349	1592	2154	2.21789386664726
615	241	349	573	2.21780125215259
616	349	668	1482	2.21775576991244
617	349	668	719	2.2176865619602
618	349	875	1592	2.21765155880401
619	349	1592	1667	2.21754435053884
620	56	152	349	2.21744410953
621	349	415	668	2.21732660999199
622	143	349	1197	2.21726480379433
623	143	159	349	2.21719430379433
624	146	349	663	2.2171668889851
625	349	392	2213	2.21710134553012
626	143	349	3514	2.21707830379433
627	349	1083	2184	2.21702882367484
628	143	349	2398	2.21701455379433
629	349	754	1592	2.21699805880401
630	143	349	882	2.21695955379433
631	143	349	2004	2.21695030379433
632	11	349	392	2.21692990969747
633	6	349	1083	2.21692839808315
634	146	349	1857	2.21691683434695
635	146	349	2154	2.21687716060161
636	143	349	4962	2.21685480379433
637	143	349	706	2.21679063388554
638	349	668	1319	2.21671684756268
639	349	668	1728	2.21670384756268
640	146	349	2392	2.21657958434695
641	146	349	4286	2.21654033434695
642	349	546	1592	2.21650268717457
643	6	203	349	2.21647311608952
644	280	349	1121	2.21629424301543
645	349	668	2060	2.21627957090989
646	280	349	2213	2.21621477786824
647	152	349	2213	2.21617135379088
648	146	349	3360	2.21604108434695
649	349	838	1096	2.21602062148007
650	72	1073	2053	2.21592495582677
651	146	349	3396	2.21585233434695
652	143	349	812	2.21577980379433
653	146	349	812	2.21576583434695
654	225	349	668	2.21575034756268
655	146	196	349	2.2157224294872
656	349	639	1592	2.21554948843097
657	241	349	2213	2.21553471128485
658	349	977	1592	2.21550880880401
659	143	349	1840	2.21550305379433
660	143	349	4184	2.21535972038704
661	349	1592	4992	2.21519630880401
662	146	349	1487	2.21518833434695
663	143	349	738	2.21518355379433
664	143	349	4018	2.21510805379433
665	143	349	1220	2.21506330379433
666	349	376	1592	2.21505479612647
667	241	349	1652	2.21502168766075
668	146	349	3091	2.21498358434695
669	143	349	367	2.21495780379433
670	119	349	1592	2.21484253672748
671	143	349	574	2.21478355379433
672	349	390	1592	2.21475505880401
673	146	349	406	2.21467983434695
674	146	349	731	2.21465583434695
675	299	349	668	2.21460909756268
676	152	177	349	2.21456227242557
677	349	1592	1857	2.21452930880401
678	280	1096	1532	2.21451510902396
679	152	349	1356	2.21449117038541
680	266	280	349	2.21436390432948
681	349	668	3933	2.21434362509677
682	146	349	848	2.21418598267926
683	241	349	376	2.21417678922092
684	43	143	349	2.21414680379433
685	349	668	1653	2.21414009756268
686	146	349	2657	2.21410783434695
687	143	349	1235	2.21407005379433
688	146	280	1096	2.21404021421355
689	241	349	2056	2.21401960482109
690	241	349	1653	2.21401584264993
691	349	879	1592	2.21394630880401
692	316	349	1592	2.21392730880401
693	349	916	1592	2.21390805880401
694	349	573	668	2.21383621334374
695	349	1083	1096	2.21381363642924
696	146	326	349	2.2138090537494
697	287	349	1592	2.21376405880401
698	35	143	349	2.21372395631035
699	143	349	968	2.21372180379433
700	146	349	778	2.21369108434695
701	146	349	3531	2.21353489058693
702	146	349	359	2.21353240376544
703	143	349	3074	2.21349630379433
704	143	349	790	2.21348290512056
705	151	349	668	2.21348014593274
706	143	152	280	2.21338220454236
707	146	179	349	2.21333833434695
708	146	168	531	2.21328785872281
709	299	349	1592	2.21327980880401
710	143	349	855	2.21319830379433
711	349	1592	2332	2.21311430880401
712	146	349	854	2.21308408434695
713	152	668	1083	2.21304801893559
714	668	1083	2614	2.21297766315685
715	168	349	719	2.21294826375653
716	6	143	146	2.21284184945203
717	152	187	349	2.21282518139054
718	143	349	836	2.2127971202181
719	152	349	1046	2.21269567038541
720	349	1287	1592	2.21262063471897
721	349	1096	3173	2.21250399271618
722	152	266	349	2.21246466442085
723	349	668	672	2.21245144366189
724	146	251	349	2.21232383434695
725	146	349	1362	2.21227208434695
726	143	349	791	2.21223230379433
727	349	668	1984	2.21222359756268
728	349	1592	4286	2.21221530880401
729	168	349	1083	2.21216929848407
730	146	349	670	2.21207058434695
731	143	349	2569	2.21195430379433
732	349	668	3799	2.21193710778289
733	146	259	349	2.21192833434695
734	349	1592	4611	2.21175280880401
735	143	349	391	2.21174155379433
736	146	349	1895	2.21171858434695
737	241	349	1669	2.21164722392611
738	146	168	1482	2.21163878878618
739	349	1592	1863	2.21162887317218
740	143	349	2799	2.21160330379433
741	14	241	349	2.21149959264993
742	349	1096	1482	2.21149597843748
743	146	349	793	2.21143471909
744	143	349	1722	2.21135405379433
745	152	349	617	2.21133542038541
746	241	349	617	2.21131834264993
747	241	349	1153	2.21129059264993
748	349	1592	4603	2.21128330880401
749	349	1592	3360	2.21127355880401
750	143	152	1073	2.21124774211539
751	146	335	349	2.21124458434695
752	349	848	1592	2.21119833359796
753	14	152	349	2.21117692038541
754	143	349	958	2.21108005379433
755	143	349	4332	2.21106655379433
756	143	349	2423	2.21102405379433
757	143	349	592	2.21101080379433
758	112	152	1073	2.21093491128698
759	349	1096	2213	2.21090603191849
760	143	349	2101	2.2109016287887
761	146	349	1345	2.21081833434695
762	146	349	2040	2.21080908434695
763	349	359	1592	2.21079645263873
764	349	668	1892	2.21079489728531
765	349	1532	1592	2.21078419303349
766	179	349	1592	2.21075030880401
767	349	663	1096	2.21072873348788
768	349	1592	2316	2.21069430880401
769	146	349	1064	2.21061083434695
770	146	349	4728	2.21058583434695
771	112	152	349	2.21055274303752
772	146	349	2060	2.21055183434695
773	6	349	1667	2.21054051741723
774	152	349	1153	2.21050792038541
775	349	793	1096	2.2104814718882
776	241	349	3135	2.21046969787173
777	6	349	639	2.21045857890853
778	143	349	3702	2.21044580379433
779	241	349	939	2.21033009264993
780	88	146	349	2.21031883434695
781	143	349	670	2.21031730379433
782	76	349	668	2.21029001788599
783	152	349	410	2.21028192038541
784	143	349	866	2.21020405379433
785	152	349	465	2.21020317038541
786	72	241	1073	2.21020272742761
787	143	349	4324	2.21019030379433
788	241	349	1356	2.21018984264993
789	349	668	3065	2.21013520384307
790	143	349	3053	2.21012530379433
791	139	152	349	2.21007442038541
792	146	349	1648	2.2100544981203
793	152	349	899	2.21003742038541
794	349	485	1592	2.20996080880401
795	349	531	668	2.20995271841331
796	30	143	349	2.20991955379433
797	222	349	551	2.20981406353238
798	157	349	1592	2.20978655880401
799	72	1073	1083	2.20973048988428
800	146	349	1397	2.20966783434695
801	156	349	668	2.20965384756268
802	349	1592	3521	2.20964280880401
803	80	143	349	2.20960630379433
804	146	349	619	2.20955483434695
805	146	349	3296	2.20953383434695
806	146	349	1262	2.20950833434695
807	143	349	904	2.20949405379433
808	143	349	1804	2.20947905379433
809	146	349	2267	2.20944983434695
810	349	1592	2787	2.20944680880401
811	349	668	1356	2.20943159756268
812	161	349	668	2.20940434756268
813	349	668	2339	2.20931313242044
814	349	668	1298	2.20930470304154
815	241	349	867	2.2092815571274
816	143	349	644	2.20926955379433
817	86	146	349	2.20916033434695
818	241	349	994	2.20912484264993
819	143	349	1695	2.20912355379433
820	349	1592	3091	2.20902880880401
821	319	349	1592	2.20882055880401
822	196	349	1592	2.20881045936099
823	146	349	592	2.20876633434695
824	349	1592	3074	2.20874630880401
825	143	349	4317	2.20863755379433
826	143	349	1128	2.20862671121075
827	146	349	542	2.20860608434695
828	241	349	392	2.20858668855323
829	222	349	579	2.20855191346651
830	280	392	1041	2.20850845022284
831	27	349	668	2.20842384756268
832	14	222	349	2.20830891346651
833	141	146	349	2.20814177235117
834	146	349	803	2.20812808434695
835	349	668	1153	2.20812559756268
836	349	938	1592	2.20811255880401
837	146	349	2011	2.20794534724611
