V1	V2
490	152	4343
491	152	579
492	224	349
493	349	1226
494	152	4327
495	211	761
496	349	1066
497	349	1262
498	349	1841
499	310	2090
500	151	668
501	349	1170
502	152	639
503	349	1064
504	349	1070
505	349	3091
506	80	211
507	152	1287
508	152	1374
509	211	902
510	349	690
511	211	719
512	349	3914
513	152	1984
514	349	2004
515	551	1041
516	239	349
517	211	1572
518	349	2311
519	349	875
520	152	2334
521	349	4749
522	11	551
523	152	3091
524	349	3235
525	349	1374
526	152	3579
527	152	917
528	392	1482
529	349	812
530	349	581
531	349	882
532	349	3475
533	349	913
534	241	867
535	152	739
536	211	2080
537	241	1267
538	349	1699
539	939	1487
540	152	754
541	195	211
542	152	407
543	152	189
544	178	211
545	349	577
546	349	663
547	241	1083
548	171	349
549	280	411
550	310	2107
551	211	609
552	211	1272
553	94	349
554	349	3665
555	152	3622
556	174	349
557	152	1362
558	152	157
559	349	1709
560	152	1892
561	195	1073
562	32	349
563	349	2787
564	6	222
565	211	594
566	349	854
567	349	3159
568	152	487
569	349	4169
570	349	3996
571	211	1953
572	349	1932
573	349	2740
574	2107	2578
575	211	399
576	317	349
577	335	349
578	152	3191
579	152	414
580	7	152
581	211	817
582	280	1592
583	88	211
584	152	672
585	152	1388
586	152	543
587	349	3999
588	349	1231
589	349	3710
590	349	3657
591	349	359
592	211	1574
593	211	290
594	349	891
595	211	1097
596	241	410
597	211	2734
598	152	994
599	112	211
600	668	2734
601	349	3045
602	349	2866
603	349	3111
604	349	1345
605	349	688
606	74	211
607	349	2417
608	152	559
609	310	349
610	349	4940
611	211	1984
612	349	939
613	152	1116
614	1083	1319
615	152	2100
616	349	2322
617	349	1551
618	203	310
619	50	349
620	349	2434
621	349	4397
622	152	750
623	349	3413
624	312	349
625	211	1356
626	349	4611
627	152	3235
628	88	349
629	152	848
630	349	3916
631	211	3101
632	230	1083
633	146	392
634	349	538
635	211	1268
636	152	891
637	939	1653
638	76	668
639	241	415
640	349	386
641	1083	1669
642	152	1798
643	349	1798
644	376	1287
645	349	889
646	152	2734
647	112	867
648	349	989
649	152	2213
650	211	3343
651	152	3026
652	339	349
653	349	670
654	349	3930
655	211	1251
656	349	1006
657	349	1116
658	152	1719
659	349	4603
660	211	661
661	241	3135
662	349	847
663	152	1010
664	182	349
665	349	1032
666	349	793
667	349	912
668	349	1487
669	1439	2107
670	349	2196
671	879	1083
672	152	374
673	349	578
674	152	4286
675	349	662
676	349	2974
677	349	3135
678	152	939
679	349	2797
680	143	1083
681	349	353
682	1073	2213
683	211	358
684	349	351
685	349	477
686	349	2090
687	98	211
688	211	1380
689	349	4410
690	211	2100
691	152	1096
692	241	1285
693	141	310
694	152	299
695	211	1249
696	241	3401
697	349	782
698	376	1798
699	349	874
700	222	280
701	349	940
702	349	518
703	97	349
704	152	161
705	349	1140
706	349	2491
707	349	1503
708	349	900
709	152	979
710	349	1648
711	241	719
712	349	1400
713	349	4903
714	132	349
715	211	415
716	211	309
717	34	152
718	146	531
719	349	3271
720	939	1002
721	349	1858
722	152	938
723	349	2889
724	349	2016
725	349	1581
726	280	2213
727	211	335
728	349	406
729	152	390
730	211	1150
731	152	551
732	152	3665
733	349	700
734	211	1400
735	103	349
736	211	2636
737	335	1083
738	279	349
739	349	3385
740	1083	1591
741	241	939
742	1083	1096
743	56	152
744	349	661
745	152	977
746	152	4992
747	731	939
748	349	2281
749	152	1844
750	157	211
751	349	441
752	349	870
753	211	4292
754	349	2087
755	152	1932
756	349	1757
757	211	1176
758	349	439
759	211	2903
760	280	1798
761	152	651
762	349	1483
763	143	531
764	152	323
765	170	1083
766	211	338
767	349	2694
768	531	1083
769	349	3371
770	349	4332
771	349	3251
772	1083	3073
773	349	3514
774	141	1083
775	89	349
776	211	2920
777	195	349
778	211	1612
779	939	1648
780	211	485
781	310	415
782	211	1319
783	211	1128
784	2053	2107
785	152	2299
786	241	1653
787	152	2060
788	146	719
789	349	376
790	349	497
791	152	177
792	349	3751
793	152	309
794	349	2653
795	211	229
796	152	882
797	211	2657
798	1083	1153
799	782	939
800	349	2940
801	152	916
802	349	976
803	349	1941
804	349	736
805	17	349
806	182	2316
807	24	349
808	349	911
809	349	3296
810	349	1394
811	211	830
812	349	938
813	21	349
814	152	778
815	211	2342
816	211	848
817	349	2346
818	152	2657
819	211	3091
820	349	926
821	349	655
822	211	1852
823	392	1120
824	349	1888
825	152	2320
826	349	4968
827	46	152
828	141	2107
829	1798	3464
830	152	913
831	232	349
832	2	211
833	152	2270
834	349	4018
835	349	742
836	349	3531
837	349	4328
838	349	883
839	152	1895
840	349	3055
841	211	1204
842	152	491
843	211	2159
844	349	1879
845	349	1005
846	152	2159
847	211	1483
848	349	3425
849	341	349
850	152	4728
851	349	3410
852	14	579
853	349	1357
854	1231	2316
855	1319	2107
856	629	2107
857	132	1083
858	1083	3094
859	676	1798
860	211	994
861	211	1591
862	349	2708
863	211	406
864	152	2866
865	349	605
866	211	2053
867	349	702
868	211	310
869	349	3700
870	349	3807
871	349	3368
872	152	287
873	8	152
874	349	2398
875	211	1969
876	349	495
877	1824	2051
878	152	290
879	86	3360
880	211	3360
881	2865	3360
882	152	337
883	211	1677
884	152	260
885	349	1303
886	349	2430
887	349	944
888	349	1969
889	211	1096
890	939	1083
891	349	2779
892	349	1062
893	211	1159
894	211	387
895	1083	3522
896	2	152
897	211	4018
898	168	280
899	211	1722
900	349	2018
901	1188	2316
902	152	1780
903	349	2919
904	159	349
905	349	867
906	310	1439
907	349	659
908	152	2463
909	152	870
910	1096	1653
911	349	852
912	3235	3360
913	211	617
914	72	211
915	2316	2455
916	152	392
917	152	1941
918	374	1083
919	152	912
920	349	4034
921	11	152
922	183	211
923	349	696
924	211	3132
925	349	402
926	349	2931
927	349	3888
928	211	2982
929	349	2780
930	211	1439
931	349	2002
932	146	1083
933	211	913
934	332	349
935	392	961
936	349	1071
937	913	939
938	211	402
939	143	1096
940	349	1176
941	152	4611
942	913	2107
943	349	491
944	349	809
945	1653	3360
946	407	939
947	349	2953
948	1083	3296
949	152	1709
950	152	339
951	349	1608
952	112	1083
953	349	3115
954	152	289
955	1439	2053
956	349	715
957	152	4329
958	152	847
959	349	2326
960	152	3426
961	1096	2107
962	152	3401
963	1083	2060
964	152	2114
965	1695	1798
966	349	2667
967	349	787
968	349	2789
969	2184	2246
970	349	3926
971	1591	2107
972	349	1089
973	152	232
974	310	531
975	349	507
976	165	349
977	867	1073
978	349	3188
979	211	538
980	349	3932
981	146	310
982	211	3433
983	211	879
984	349	832
985	349	1440
986	349	2200
987	152	1044
988	669	1083
989	349	2903
990	349	4347
991	228	2107
992	345	349
993	349	1670
994	349	2185
995	211	959
996	211	339
997	152	172
998	2016	3360
999	349	936
1000	152	2434
1001	152	3514
1002	349	1197
1003	211	1357
1004	211	787
1005	1083	2090
1006	349	1188
1007	399	2316
1008	310	939
1009	197	349
1010	1083	3023
1011	211	299
1012	725	1083
1013	349	3101
1014	152	1669
1015	349	3787
1016	349	4184
1017	211	582
1018	629	1083
1019	349	556
1020	43	152
1021	211	230
1022	211	2056
1023	141	152
1024	152	803
1025	211	1892
1026	349	1624
1027	867	939
1028	349	590
1029	349	560
1030	349	1466
1031	211	1481
1032	349	3563
1033	646	836
1034	211	2513
1035	194	349
1036	211	3941
1037	211	2097
1038	349	434
1039	96	349
1040	349	3693
1041	2054	2316
1042	349	649
1043	211	725
1044	2316	2325
1045	349	2616
1046	349	629
1047	879	2107
1048	211	644
1049	349	3733
1050	152	3521
1051	289	1083
1052	1083	1487
1053	303	349
1054	168	1995
1055	349	535
1056	1083	2668
1057	152	211
1058	152	1728
1059	359	639
1060	668	1413
1061	152	3074
1062	349	3460
1063	349	398
1064	349	2665
1065	211	287
1066	152	731
1067	152	3023
1068	1553	2107
1069	211	1487
1070	211	3415
1071	349	3117
1072	89	551
1073	349	1348
1074	334	1653
1075	211	1753
1076	152	531
1077	79	349
1078	349	1222
1079	310	1083
1080	349	1350
1081	211	1206
1082	152	738
1083	211	760
1084	152	520
1085	211	1001
1086	211	1656
1087	229	349
1088	152	432
1089	155	211
1090	211	876
1091	152	2342
1092	349	391
1093	349	1980
1094	349	1097
1095	152	885
1096	152	2919
1097	152	813
1098	196	3360
1099	211	610
1100	349	4000
1101	152	875
1102	211	1653
1103	619	1083
1104	349	1325
1105	1089	2316
1106	1083	3216
1107	349	508
1108	602	1083
1109	349	4195
1110	152	971
1111	349	4854
1112	152	1551
1113	349	3971
1114	119	1083
1115	349	4324
1116	211	5341
1117	241	710
1118	349	482
1119	1083	1592
1120	349	393
1121	349	790
1122	211	655
1123	349	367
1124	349	2140
1125	349	904
1126	1367	2107
1127	551	1096
1128	43	1798
1129	152	3444
1130	1653	1984
1131	80	349
1132	95	349
1133	145	211
1134	211	1153
1135	349	405
1136	211	2374
1137	14	1798
1138	349	1024
1139	211	272
1140	349	791
1141	152	2311
1142	349	3871
1143	152	485
1144	241	2056
1145	152	725
1146	939	1096
1147	211	256
1148	1083	1728
1149	711	939
1150	349	2466
1151	152	3751
1152	152	1002
1153	349	591
1154	152	3930
1155	349	4329
1156	211	782
1157	349	611
1158	211	721
1159	1487	1653
1160	196	939
1161	211	2893
1162	152	224
1163	211	3026
1164	349	358
1165	152	1653
1166	127	152
1167	913	1083
1168	349	953
1169	211	3725
1170	262	349
1171	349	3308
1172	349	1591
1173	349	981
1174	211	1073
1175	1798	3800
1176	1224	2316
1177	349	2763
1178	349	2636
1179	812	1083
1180	54	211
1181	349	798
1182	152	4783
1183	168	2107
1184	152	4603
1185	211	646
1186	241	2339
1187	1648	3799
1188	152	1400
1189	152	3916
1190	1892	3342
1191	349	2405
1192	349	1804
1193	62	701
1194	349	1793
1195	14	280
1196	349	958
1197	152	841
1198	152	655
1199	882	1798
1200	349	978
1201	152	2889
1202	127	2316
1203	1798	4206
1204	152	330
1205	211	1051
1206	211	1756
1207	349	966
1208	656	1083
1209	62	489
1210	349	1252
1211	152	2903
1212	310	615
1213	185	349
1214	1083	3799
1215	656	939
1216	152	2205
1217	104	349
1218	376	1695
1219	152	1064
1220	349	868
1221	103	152
1222	31	152
1223	151	1894
1224	152	592
1225	1083	1407
1226	349	3048
1227	280	1120
1228	152	1487
1229	349	2363
1230	1798	3916
1231	211	3885
1232	938	1798
1233	349	3046
1234	349	3558
1235	152	662
1236	147	349
1237	152	1540
1238	349	643
1239	1083	3521
1240	349	2992
1241	1083	1397
1242	152	3614
1243	152	2491
1244	349	4557
1245	82	392
1246	349	1675
1247	349	4127
1248	152	976
1249	211	3882
1250	1648	4184
1251	579	3235
1252	35	349
1253	152	4380
1254	152	399
1255	661	3360
1256	1083	2479
1257	222	241
1258	676	3800
1259	349	2048
1260	241	1319
1261	152	1607
1262	1083	1648
1263	407	1653
1264	280	564
1265	1648	2107
1266	152	3996
1267	1083	2107
1268	88	1083
1269	152	542
1270	152	405
1271	177	1083
1272	349	1544
1273	349	1540
1274	211	462
1275	1374	3360
1276	349	4031
1277	349	1196
1278	349	3814
1279	211	3604
1280	349	2153
1281	299	1083
1282	725	2107
1283	152	1888
1284	349	3378
1285	349	2040
1286	349	706
1287	211	1197
1288	43	349
1289	782	1083
1290	1380	1653
1291	152	2054
1292	349	1358
1293	225	1083
1294	211	374
1295	1083	3700
1296	127	211
1297	349	2008
1298	152	1380
1299	227	349
1300	349	959
1301	349	2493
1302	14	3342
1303	280	838
1304	574	1653
1305	349	1700
1306	349	4209
1307	203	241
1308	2107	3418
1309	3360	3531
1310	349	2423
1311	152	2094
1312	349	3726
1313	211	2958
1314	731	1083
1315	211	836
1316	349	4731
1317	1096	2213
1318	939	4184
1319	211	228
1320	86	1653
1321	349	2447
1322	286	1083
1323	676	4206
1324	152	4557
1325	349	4962
1326	349	1515
1327	415	2053
1328	334	939
1329	1083	1863
1330	831	1083
1331	211	1943
1332	14	551
1333	6	326
1334	211	3521
1335	495	1083
1336	1083	1653
1337	1083	2185
1338	349	609
1339	211	1596
1340	211	3505
1341	86	152
1342	211	1083
1343	287	1984
1344	189	3342
1345	668	3065
1346	211	3094
1347	193	392
1348	211	939
1349	349	400
1350	349	4886
1351	1083	2392
1352	782	1653
1353	55	211
1354	644	1083
1355	27	1083
1356	349	3608
1357	211	688
1358	114	349
1359	155	3360
1360	349	4417
1361	211	543
1362	938	2423
1363	349	2401
1364	152	4749
1365	1798	3091
1366	349	528
1367	53	152
1368	297	2107
1369	152	376
1370	676	971
1371	152	3563
1372	152	156
1373	152	940
1374	1115	1564
1375	349	2505
1376	349	1884
1377	731	1653
1378	211	3531
1379	349	3722
1380	319	1083
1381	349	2970
1382	346	349
1383	269	349
1384	152	259
1385	349	1722
1386	159	1083
1387	211	2865
1388	211	711
1389	349	2475
1390	1004	2316
1391	211	1388
1392	211	1898
1393	1253	2316
1394	152	2080
1395	104	211
1396	152	3061
1397	196	1653
1398	349	1614
1399	86	1083
1400	152	4282
1401	178	1083
1402	152	358
1403	349	735
1404	691	2316
1405	349	3604
1406	211	3368
1407	310	1319
1408	152	3396
1409	211	341
1410	152	4169
1411	276	349
1412	349	4374
1413	152	4719
1414	349	3702
1415	551	1011
1416	152	3368
1417	203	1592
1418	579	882
1419	349	3360
1420	3360	3415
1421	1083	1969
1422	349	1574
1423	939	2866
1424	120	211
1425	211	4539
1426	879	1653
1427	211	1941
1428	143	521
1429	349	4848
1430	407	1083
1431	1083	3615
1432	668	1592
1433	211	2806
1434	531	2107
1435	211	3235
1436	349	1079
1437	211	2789
1438	1151	2107
1439	152	676
1440	152	3807
1441	152	727
1442	349	2428
1443	349	2321
1444	1083	3710
1445	349	4849
1446	152	318
1447	152	1695
1448	211	1623
1449	211	2094
1450	143	211
1451	152	1032
1452	349	1009
1453	349	711
1454	559	1798
1455	390	1083
1456	655	3360
1457	211	803
1458	2107	2659
1459	1798	2866
1460	349	1481
1461	310	1591
1462	1083	2657
1463	938	939
1464	349	610
1465	349	2799
1466	211	266
1467	62	320
1468	152	611
1469	574	3360
1470	349	645
1471	152	319
1472	152	661
1473	3132	3360
1474	211	1503
1475	489	2107
1476	211	1648
1477	711	3360
1478	1083	3396
1479	349	3763
1480	579	676
1481	152	688
1482	651	3360
1483	701	2107
1484	280	938
1485	349	1695
1486	1695	4206
1487	211	750
1488	675	2107
1489	1374	1798
1490	211	233
1491	1083	1356
1492	41	152
1493	349	3049
1494	617	939
1495	280	4184
1496	211	3181
1497	939	3023
1498	676	3464
1499	349	2003
1500	848	3360
1501	1397	1653
1502	127	2493
1503	662	3360
1504	152	4940
1505	280	793
1506	411	1028
1507	349	968
1508	80	1653
1509	349	1898
1510	14	559
1511	211	3289
1512	152	230
1513	1798	3235
1514	2107	2734
1515	74	2107
1516	211	4209
1517	152	900
1518	14	676
1519	1096	3360
1520	152	279
1521	203	2053
1522	727	2316
1523	1064	1083
1524	1083	1313
1525	211	1942
1526	349	669
1527	579	1798
1528	211	1581
1529	152	1267
1530	280	939
1531	41	211
1532	913	1653
1533	152	953
1534	211	1777
1535	994	1653
1536	1798	3514
1537	132	211
1538	939	3360
1539	241	3360
1540	152	195
1541	334	2107
1542	376	676
1543	324	349
1544	465	1083
1545	211	656
1546	1984	3235
1547	1798	3825
1548	152	351
1549	156	1083
1550	349	3821
1551	211	3464
1552	349	1049
1553	326	1041
1554	211	4909
1555	152	4760
1556	349	971
1557	1984	3360
1558	314	1564
1559	727	1843
1560	211	391
1561	617	1083
1562	2107	3604
1563	152	311
1564	349	1730
1565	152	947
1566	2316	3152
1567	2493	3360
1568	349	656
1569	211	2578
1570	62	1203
1571	688	3360
1572	721	3360
1573	34	392
1574	232	1798
1575	1653	2016
1576	111	152
1577	152	4714
1578	349	4104
1579	349	1953
1580	939	3202
1581	349	2481
1582	211	4040
1583	14	617
1584	152	3799
1585	1083	2053
1586	939	2434
1587	579	1984
1588	94	152
1589	994	1073
1590	349	2500
1591	1348	2316
1592	14	211
1593	349	511
1594	152	1070
1595	168	1482
1596	143	1073
1597	939	3235
1598	152	609
1599	280	579
1600	1159	3360
1601	152	1313
1602	939	1287
1603	1532	1798
1604	1804	2316
1605	241	573
1606	152	3115
1607	36	349
1608	564	2107
1609	211	459
1610	211	2183
1611	177	2107
1612	1653	3094
1613	152	2423
1614	349	666
1615	152	2016
1616	280	1667
1617	349	846
1618	338	1083
1619	101	349
1620	211	3733
1621	1466	2246
1622	579	778
1623	152	1857
1624	211	2339
1625	349	691
1626	559	579
1627	349	3098
1628	475	2107
1629	1287	1653
1630	939	1319
1631	349	644
1632	211	727
1633	152	537
1634	349	561
1635	349	421
1636	349	1367
1637	334	1083
1638	310	1843
1639	152	286
1640	1380	3360
1641	211	367
1642	939	2909
1643	211	1299
1644	152	225
1645	349	378
1646	939	2893
1647	2004	2316
1648	86	994
1649	152	879
1650	551	1482
1651	349	2279
1652	211	3650
1653	579	3514
1654	676	3514
1655	62	2053
1656	211	4544
1657	1653	3531
1658	1397	3360
1659	152	3101
1660	211	668
1661	349	698
1662	349	2479
1663	211	2799
1664	1400	3360
1665	80	3360
1666	349	682
1667	152	251
1668	313	349
1669	299	2316
1670	349	2772
1671	349	2042
1672	349	1351
1673	318	1083
1674	1083	2463
1675	551	1028
1676	535	2316
1677	349	4380
1678	211	1207
1679	672	1083
1680	349	2766
1681	349	2227
1682	228	1083
1683	211	491
1684	164	211
1685	207	349
1686	1083	1367
1687	899	3342
1688	152	1872
1689	152	1394
1690	349	1224
1691	646	1096
1692	651	1653
1693	206	211
1694	280	1695
1695	349	462
1696	939	2903
1697	349	714
1698	1083	4026
1699	349	3124
1700	152	590
1701	211	2163
1702	152	3135
1703	211	1187
1704	104	3360
1705	1482	1592
1706	152	936
1707	551	639
1708	211	3508
1709	152	3094
1710	152	2970
1711	152	2789
1712	203	2316
1713	392	1011
1714	1083	1253
1715	178	1319
1716	241	782
1717	152	507
1718	1653	3023
1719	349	1951
1720	172	2316
1721	349	1439
1722	112	2107
1723	1083	2054
1724	676	882
1725	676	2153
1726	579	899
1727	1357	3360
1728	1083	3604
1729	1984	2493
1730	349	2421
1731	831	2107
1732	152	635
1733	112	1653
1734	1083	3323
1735	349	4282
1736	579	3023
1737	211	3517
1738	706	1653
1739	3825	4206
1740	349	1829
1741	939	2793
1742	1083	3325
1743	415	1083
1744	152	2196
1745	349	2224
1746	900	1083
1747	211	3579
1748	152	619
1749	939	4380
1750	152	1358
1751	2107	3173
1752	913	1319
1753	211	793
1754	152	782
1755	727	1653
1756	152	3387
1757	349	496
1758	211	1895
1759	1798	2153
1760	14	938
1761	280	2423
1762	711	1653
1763	349	2613
1764	152	1397
1765	2316	2974
1766	349	3490
1767	349	470
1768	651	939
1769	211	2214
1770	376	938
1771	211	2115
1772	1653	2734
1773	310	1592
1774	508	1083
1775	349	3421
1776	266	579
1777	349	1840
1778	1319	2053
1779	349	4722
1780	27	152
1781	349	1777
1782	152	406
1783	1076	2043
1784	2493	4292
1785	43	939
1786	50	152
1787	349	3278
1788	1319	3799
1789	39	152
1790	152	1319
1791	152	1021
1792	349	3675
1793	310	2316
1794	349	3132
1795	376	4184
1796	14	1482
1797	3191	3342
1798	152	353
1799	341	939
1800	349	1334
1801	152	715
1802	676	4329
1803	617	1798
1804	1319	1653
1805	211	1231
1806	211	1186
1807	155	349
1808	1007	1073
1809	203	1995
1810	349	3451
1811	465	579
1812	152	2614
1813	152	2053
1814	349	3137
1815	195	241
1816	1984	3531
1817	579	2153
1818	349	2390
1819	676	3091
1820	349	1050
1821	1083	2094
1822	349	593
1823	939	2970
1824	349	676
1825	551	1532
1826	1083	4169
1827	152	3325
1828	349	3409
1829	152	179
1830	152	538
1831	349	2432
1832	1096	1319
1833	211	334
1834	349	4295
1835	62	959
1836	2316	3522
1837	349	3406
1838	551	1798
1839	879	939
1840	152	902
1841	1709	3360
1842	916	3360
1843	939	1380
1844	939	1798
1845	349	2422
1846	211	968
1847	939	4010
1848	1667	1892
1849	152	981
1850	349	3624
1851	143	1482
1852	211	649
1853	152	852
1854	14	1010
