V1	V2	V3	V4	V5	V6
60	143	146	168	349	1482	7.59431794446144
61	6	143	280	349	1592	7.59397840467122
62	6	143	152	310	349	7.59370951933669
63	143	146	152	349	668	7.59289286937825
64	6	146	152	349	1096	7.59251814475246
65	143	152	168	349	1096	7.59233070196317
66	143	146	152	203	349	7.59114350400754
67	146	152	168	349	1482	7.5894687228175
68	143	168	280	349	1096	7.58885449325052
69	143	152	241	280	349	7.58811788393282
70	143	241	349	668	1083	7.58620592257724
71	143	152	349	668	1592	7.58534408044931
72	143	152	280	349	1096	7.58494740522041
73	6	143	152	349	392	7.58479727103379
74	6	146	168	349	531	7.58361472181745
75	6	146	280	349	1482	7.58135351961017
76	146	280	349	392	1096	7.57995924303296
77	143	146	152	349	1482	7.57977720542763
78	143	152	241	310	349	7.57977086391626
79	6	143	146	349	1083	7.57914768901603
80	6	143	168	203	349	7.5789010860791
81	143	152	168	203	349	7.57795106157827
82	6	143	146	310	349	7.57618329515012
83	143	152	203	349	1592	7.5754788928075
84	6	146	168	349	392	7.57521195018918
85	6	146	280	349	392	7.57428171516485
86	143	152	168	349	1592	7.57422117997125
87	6	146	168	349	668	7.57394666958864
88	6	143	168	349	531	7.57292842783366
89	6	146	152	349	668	7.57244815020124
90	6	146	168	349	1083	7.57213808146797
91	6	143	280	349	392	7.57144771802858
92	6	143	241	280	349	7.57124966866414
93	143	146	168	349	531	7.57111548823178
94	143	146	152	349	1096	7.57104440850497
95	6	143	241	349	1592	7.5705950186127
96	6	143	280	349	1482	7.57047858713625
97	143	152	310	349	668	7.5691472488103
98	6	143	168	349	1083	7.56696547740361
99	143	152	168	349	668	7.56545281239114
100	146	152	280	349	1096	7.5636522507017
101	6	143	152	349	1083	7.56301037625586
102	6	152	168	349	1592	7.5615761919577
103	146	168	349	531	1096	7.56116733410215
104	143	349	668	1083	2246	7.56116415193214
105	146	168	241	349	1096	7.5607717407458
106	143	146	168	203	349	7.56072578581879
107	143	152	280	349	1592	7.56063103355929
108	349	668	1083	2184	2246	7.56028551508792
109	143	146	280	349	1096	7.55898658172051
110	143	152	168	349	1482	7.55894287054457
111	6	152	280	349	1592	7.55793467995881
112	6	143	349	668	1592	7.55710449040835
113	146	168	280	349	1482	7.556014303832
114	6	143	152	349	551	7.55522050737259
115	143	146	168	349	668	7.55511612996562
116	6	143	152	222	349	7.55452154038976
117	143	152	241	349	1096	7.55354651775319
118	6	146	168	349	719	7.55238253520553
119	6	146	152	349	392	7.55207307261369
120	143	152	241	349	1482	7.55201576636122
121	6	143	146	349	531	7.55078599037984
122	143	152	241	349	531	7.55064239643673
123	143	203	241	349	668	7.54937756347785
124	143	280	349	392	1096	7.54910579336184
125	143	349	668	1083	1669	7.54722067128426
126	143	152	349	668	1669	7.54659741157559
127	143	152	203	349	1073	7.54657896085634
128	6	143	203	349	668	7.54543764026251
129	146	168	241	280	349	7.54287784061422
130	6	143	146	349	719	7.54172208350912
131	143	152	280	349	1482	7.54071515154964
132	6	143	280	349	668	7.54056656343064
133	6	143	146	349	551	7.53992419129046
134	6	143	152	349	531	7.5397886596995
135	6	143	168	310	349	7.53907747574509
136	143	310	349	668	1083	7.53894245373469
137	152	349	668	1083	1592	7.53848800614597
138	143	152	203	310	349	7.53820332121562
139	152	241	349	668	1592	7.5378626339172
140	6	143	241	349	668	7.53776121833312
141	143	146	349	668	1083	7.53752383066828
142	6	14	143	152	349	7.53723505795475
143	6	143	168	349	392	7.53706492055069
144	143	168	241	349	1096	7.53696964259479
145	6	143	152	349	1073	7.53687768982495
146	152	241	349	1073	1592	7.53652755623327
147	143	146	168	349	1083	7.53626124250217
148	146	152	280	349	1482	7.53592797132034
149	6	146	280	349	1592	7.53587876355221
150	146	152	168	349	1995	7.53583936479022
151	146	152	168	349	1592	7.53577245865124
152	6	146	349	392	1096	7.53468115775051
153	146	168	241	349	531	7.53437693750826
154	6	146	152	349	1995	7.53394960917366
155	143	146	152	310	349	7.53384914907905
156	6	152	241	349	1592	7.53384100151811
157	6	143	152	266	349	7.53365601204064
158	146	152	241	280	349	7.53292538434351
159	143	152	168	349	531	7.53224327721166
160	143	152	280	349	668	7.53205375605617
161	6	146	241	280	349	7.53171928177806
162	143	152	168	349	521	7.5313414285076
163	143	146	241	280	349	7.52960008863294
164	143	168	241	349	531	7.52956853606021
165	143	349	668	1083	1592	7.52797767950809
166	143	152	203	349	1083	7.52786506620104
167	146	152	168	349	531	7.52726745849222
168	143	168	241	280	349	7.52719911214494
169	146	168	349	1096	1482	7.52704991795828
170	6	143	146	349	1592	7.52650124980875
171	143	152	241	349	1083	7.52627326219263
172	146	168	349	392	1096	7.5262428638016
173	143	168	349	668	1083	7.52576658343736
174	6	146	168	203	349	7.52546779274307
175	203	349	668	1083	1592	7.52530633006882
176	143	152	280	349	392	7.52519050714889
177	241	349	668	1083	1592	7.5250289781242
178	146	152	241	349	1592	7.52467990208569
179	143	241	310	349	668	7.52383954617546
180	6	143	349	392	1096	7.52372379093252
181	143	203	310	349	668	7.52353563355618
182	6	82	146	152	349	7.52307554871032
183	6	143	168	222	349	7.5230323558789
184	143	168	349	531	1096	7.52246158758349
185	6	146	349	668	1083	7.52233100875988
186	146	152	349	668	1083	7.52218501494541
187	143	152	349	668	1096	7.52207713987653
188	6	152	349	668	1592	7.52162943156157
189	146	152	241	349	1482	7.52145461074303
190	143	247	349	668	1083	7.52144318952976
191	143	152	241	349	415	7.52124830098752
192	146	152	168	349	668	7.52112616377368
193	146	168	241	349	1482	7.52105698006618
194	280	349	392	411	1096	7.52022356540184
195	6	143	168	349	719	7.51920974190112
196	6	143	152	349	719	7.51842477993311
197	6	146	168	222	349	7.51831938754356
198	143	152	203	280	349	7.5180097989036
199	6	143	310	349	668	7.51752775907244
200	6	143	152	349	579	7.51707805795475
201	6	143	241	349	1096	7.5169483817333
202	143	146	152	349	392	7.51661416403672
203	6	146	152	203	349	7.51661025213178
204	143	241	280	349	1096	7.51555305030199
205	143	152	349	668	2246	7.51508674199198
206	143	349	668	1083	1096	7.51479482541983
207	143	146	168	349	719	7.51431700016629
208	152	241	280	349	1592	7.51431610146751
209	143	152	349	1482	1592	7.51427008869802
210	6	146	168	310	349	7.51381709939229
211	152	203	349	668	1592	7.51378831966921
212	152	203	241	349	1592	7.51336591368791
213	6	143	152	349	617	7.51327455795475
214	143	203	241	349	1073	7.51306079297771
215	143	168	241	349	1592	7.5127651053582
216	146	152	241	349	1073	7.51250334873783
217	143	152	349	668	1073	7.51240510290127
218	146	152	280	349	392	7.51236239158192
219	6	143	280	349	551	7.51169258815507
220	6	146	152	349	551	7.51136613251742
221	6	143	203	349	1592	7.51103093415565
222	6	143	152	349	1667	7.51089423783048
223	6	143	349	668	1096	7.5108600264998
224	143	146	168	310	349	7.51081307474602
225	146	152	241	349	668	7.51080273824611
226	6	143	152	349	3773	7.51039643477635
227	143	152	203	349	1096	7.51016048416054
228	6	143	203	241	349	7.50994070918583
229	6	143	152	349	2213	7.50988490984367
230	6	143	152	349	1669	7.50952690536152
231	6	139	143	152	349	7.50934455795475
232	146	152	168	203	349	7.508855655539
233	143	146	203	241	349	7.50840804279957
234	143	168	203	241	349	7.5083769382603
235	6	146	168	349	3773	7.50819404680386
236	143	241	349	668	1592	7.50811952998026
237	6	168	280	349	1096	7.50790114116533
238	6	143	152	349	899	7.50744305795475
239	6	143	349	1482	1592	7.50728112686919
240	143	146	241	349	668	7.50690877666992
241	146	152	241	349	1096	7.5064773878456
242	143	146	152	349	531	7.50637975083905
243	6	168	280	349	1592	7.50624337600873
244	146	241	280	349	1096	7.50404211595076
245	6	143	152	349	1798	7.50378362451972
246	6	143	146	349	521	7.50341504646466
247	6	146	280	349	551	7.50339640885626
248	152	168	241	349	1592	7.50334532327919
249	6	143	152	349	939	7.5033256074034
250	349	668	1083	1669	2184	7.50288410306011
251	6	143	241	310	349	7.50277035153524
252	6	143	152	196	349	7.50264658441739
253	143	146	241	349	1096	7.5025220112466
254	6	146	168	349	551	7.50234254252838
255	143	146	280	349	1482	7.50218297281395
256	146	152	168	349	521	7.50182606484156
257	146	168	280	349	392	7.50177160383524
258	349	668	1083	1592	2246	7.50168534419452
259	143	203	241	349	1592	7.50150297383882
260	6	14	143	146	349	7.50129337071491
261	143	152	241	349	719	7.50101167451206
262	6	152	349	1482	1592	7.50094681257041
263	143	146	152	349	1083	7.50071017209586
264	143	203	349	668	1592	7.50064642157231
265	146	168	349	668	1083	7.50061411343559
266	146	168	349	719	1096	7.50048268143203
267	143	146	168	349	392	7.50047778281219
268	143	152	168	310	349	7.50046441859281
269	146	241	349	668	1083	7.49996644468435
270	146	280	349	1096	1482	7.49951019497956
271	143	203	241	349	1083	7.49911090727286
272	6	143	152	349	1984	7.49904605795475
273	143	349	668	1083	3525	7.4989339668191
274	6	143	152	211	349	7.49854380180493
275	349	668	1083	1669	2246	7.49809897468571
276	6	146	152	310	349	7.49757791492529
277	6	143	152	349	1892	7.49738224107166
278	6	146	152	349	1083	7.49731175226163
279	143	152	349	392	1096	7.49719650080402
280	6	143	152	349	359	7.49718327588328
281	6	143	152	349	639	7.49710807283346
282	6	143	152	349	3342	7.49673455795475
283	143	349	668	1073	1083	7.49635507249678
284	143	203	241	310	349	7.49614425008115
285	6	143	280	349	1083	7.49591021575823
286	6	143	146	349	579	7.49519787071491
287	143	152	310	349	1592	7.49498112328297
288	6	143	241	349	1482	7.49481121815178
289	146	152	203	241	349	7.49442184028792
290	6	143	349	1096	1592	7.49421462598195
291	6	82	146	168	349	7.49416616906726
292	72	241	349	668	1083	7.49379898454862
293	53	143	349	668	1083	7.49369662189716
294	146	203	349	668	1083	7.49360593982193
295	6	143	152	349	1046	7.49332605795475
296	143	146	152	349	1073	7.49318139068116
297	72	349	668	1083	2246	7.49297202280812
298	143	146	203	349	668	7.49279781145491
299	143	168	241	349	668	7.49263005757281
300	53	349	668	1083	2184	7.49254791265236
301	146	152	349	392	1096	7.49249175491879
302	6	143	146	349	2213	7.49243916536817
303	203	349	668	1083	2246	7.49239057824891
304	349	668	815	1083	2246	7.49237595414678
305	143	152	168	349	1083	7.49224904940223
306	146	280	349	392	1482	7.49157650021947
307	6	143	146	349	3773	7.49153615898543
308	6	146	349	392	1482	7.49122840857669
309	143	146	241	310	349	7.49114858441022
310	6	143	146	211	349	7.49100587071491
311	143	241	310	349	1073	7.49065822673892
312	152	241	349	1482	1592	7.49055617861344
313	143	146	241	349	531	7.4905436717976
314	6	143	203	280	349	7.49031423766717
315	6	143	152	349	407	7.49014480795475
316	143	168	280	349	1482	7.48993025600271
317	146	168	349	521	1096	7.48992080903251
318	143	146	280	349	392	7.48959891337479
319	14	143	152	241	349	7.48956184890772
320	6	143	152	349	994	7.48937480795475
321	6	143	152	349	1153	7.48880480795475
322	146	168	349	1083	1096	7.48873014636875
323	143	146	241	349	1482	7.48841990461883
324	6	146	349	1096	1482	7.48831731635577
325	143	152	241	349	1287	7.48807516343557
326	143	152	241	349	994	7.48764159890772
327	72	203	349	668	1083	7.48737835683315
328	6	152	168	280	349	7.4872092812218
329	152	203	349	668	1083	7.48707537024526
330	146	152	280	349	1592	7.48686927973705
331	6	146	241	349	1592	7.48672140210482
332	146	349	668	1083	1995	7.48647628567431
333	143	152	203	349	1482	7.48595881768959
334	143	152	247	349	668	7.48575118638739
335	6	146	241	349	1096	7.48554136452895
336	6	143	241	349	1083	7.48537612066071
337	143	241	280	349	1592	7.4851416633962
338	6	146	152	349	3773	7.48510239305912
339	203	349	668	1083	2184	7.48507442250572
340	203	349	668	1083	1995	7.4848352599312
341	143	152	349	668	1482	7.48479809676239
342	146	152	168	349	392	7.484647040869
343	146	152	241	349	531	7.48457956982618
344	143	152	310	349	1073	7.48414149807842
345	146	168	241	349	1592	7.48410060420568
346	6	143	152	349	1299	7.48378930795475
347	247	349	668	1083	2184	7.48363803249829
348	6	143	152	290	349	7.48355280795475
349	72	152	349	668	1083	7.48346046847193
350	146	168	280	349	531	7.4833874359787
351	143	280	349	668	1083	7.48334217645547
352	146	349	668	1083	2246	7.48275822340633
353	143	152	349	1073	1592	7.48259691357657
354	6	143	152	349	754	7.48234455795475
355	6	152	168	222	349	7.48232674234189
356	143	152	203	349	415	7.48217711371033
357	143	146	152	349	719	7.48193606893971
358	146	152	168	349	1083	7.48175954076336
359	6	14	146	152	349	7.48143698730008
360	143	152	211	241	349	7.48103359275791
361	6	143	152	349	465	7.48075780795475
362	143	168	241	349	1482	7.48074690762577
363	6	146	152	349	719	7.48072634517892
364	146	152	168	349	719	7.48065549685167
365	6	53	143	152	349	7.48064220459409
366	143	152	241	349	2213	7.48062184216195
367	143	152	349	1096	1592	7.48059717562123
368	146	152	203	349	668	7.48009056719107
369	6	146	241	349	1482	7.47991217523684
370	6	146	152	349	531	7.4796037256247
371	6	143	152	189	349	7.47922005795475
372	152	349	668	1083	2184	7.47918374668841
373	6	146	152	222	349	7.47893734399583
374	6	143	152	349	415	7.47885129140512
375	143	152	349	531	1096	7.47870958814201
376	6	143	146	349	939	7.47859962071491
377	247	349	668	1083	2246	7.47855984368906
378	6	143	349	668	1669	7.47784906019787
379	6	143	152	349	3023	7.47784430795475
380	146	152	241	310	349	7.47776136696911
381	143	241	349	531	1096	7.47772806658452
382	143	152	241	349	939	7.47765039835638
383	6	146	168	349	564	7.47764312503075
384	6	143	146	349	899	7.47751187071491
385	6	143	152	349	1653	7.47746130795475
386	6	143	152	349	1532	7.47726523890753
387	6	143	222	280	349	7.47714536882472
388	143	152	241	349	1653	7.47714259890772
389	6	146	168	349	3173	7.47705435591
390	6	146	168	349	939	7.47703581650642
391	6	146	168	349	1319	7.47699481650642
392	6	143	349	1083	1592	7.47696924446694
393	152	280	349	1096	1592	7.47689820294905
394	6	82	146	280	349	7.47684971670355
395	6	143	152	349	3091	7.47667030795475
396	6	146	280	349	668	7.47658899501417
397	6	143	152	349	3235	7.47648655795475
398	143	168	203	349	668	7.47630924448836
399	143	168	349	521	668	7.47614924146653
400	6	143	203	349	1083	7.47614057870138
401	143	168	241	349	1083	7.4760147348297
402	143	152	241	349	617	7.47600959890772
403	143	241	349	1073	1083	7.47598584106828
404	143	152	241	349	392	7.47581453835497
405	6	143	152	349	2334	7.47581430795475
406	6	143	152	349	3191	7.47578205795475
407	143	168	349	521	1096	7.47575460746046
408	6	143	241	349	531	7.47571397752544
409	143	241	349	668	1073	7.47563830352228
410	6	143	266	280	349	7.47554973034993
411	143	168	241	349	521	7.47542301107685
412	143	152	241	349	579	7.47534659890772
413	6	143	168	349	551	7.47532568932496
414	146	168	241	349	1083	7.4753094463583
415	349	668	1083	1592	1669	7.47518423927488
416	6	143	146	266	349	7.47505332417367
417	6	152	222	280	349	7.47503397543804
418	146	168	241	349	719	7.47487790873805
419	143	152	241	266	349	7.47429654341085
420	152	280	349	1482	1592	7.4741140397218
421	6	146	349	1482	1592	7.47381282972132
422	6	280	349	1096	1592	7.47381109135695
423	6	11	146	152	349	7.47373008102707
424	152	241	310	349	1592	7.47350202577305
425	6	143	152	349	739	7.47331502397231
426	143	203	349	668	1669	7.47316566800599
427	146	280	349	531	1096	7.47300700923649
428	6	280	349	392	1096	7.47298640815643
429	6	143	152	349	543	7.47291355795475
430	143	203	349	668	2246	7.47275115247079
431	6	143	152	349	1319	7.47267330795475
432	6	143	152	349	3622	7.47255955795475
433	53	349	668	1083	2246	7.47245755964161
434	143	152	203	349	531	7.47234910082878
435	6	143	152	349	1028	7.47232476806785
436	143	146	152	349	2213	7.47197500960008
437	6	11	146	280	349	7.47191219387579
438	152	349	668	1083	1995	7.47187873923217
439	143	152	241	349	1984	7.47174559890772
440	143	146	241	349	1083	7.47131451963332
441	6	146	168	349	376	7.47109500486608
442	6	143	349	531	1096	7.47101923227555
443	143	168	241	310	349	7.47092519181398
444	53	143	152	349	668	7.47081986658083
445	6	46	143	152	349	7.47068880795475
446	6	143	146	349	3342	7.47053212071491
447	6	143	152	326	349	7.47049654984695
448	6	146	168	349	1120	7.47034162798842
449	6	143	146	349	1669	7.46991607040878
450	6	143	152	349	376	7.46987111834525
451	6	143	146	349	1892	7.46966849020271
452	143	168	280	349	1592	7.46966447080919
453	146	152	349	392	1482	7.46964541793451
454	143	280	349	531	1096	7.46961429522007
455	6	349	668	1083	1592	7.46951492788896
456	146	152	168	349	3773	7.46937992602574
457	6	143	349	1096	1482	7.46931901420011
458	6	143	146	349	617	7.46929187071491
459	143	146	349	392	1096	7.46909819582322
460	143	152	349	415	668	7.46892520448145
461	6	143	152	349	1287	7.46877511027686
462	143	152	241	349	3342	7.46861909890772
463	143	152	241	349	1892	7.46849743015605
464	6	143	152	349	546	7.46822976982087
465	6	143	310	349	1592	7.46819619728256
466	6	146	152	349	579	7.46809373730008
467	349	668	1083	1995	2246	7.46789198771819
468	146	168	349	1096	1995	7.46779192241338
469	143	152	349	1083	1592	7.46765079961825
470	6	143	146	349	1319	7.46759337071491
471	6	146	152	349	899	7.46748323730008
472	6	143	349	1083	1096	7.46731167882739
473	146	349	668	1083	1669	7.46709781183259
474	146	168	280	349	1592	7.46677394504555
475	6	146	168	349	579	7.46665681650642
476	6	143	152	289	349	7.46660180795475
477	72	349	668	1073	1083	7.46655663935717
478	6	143	152	349	1120	7.46620746632467
479	6	143	146	349	1028	7.46585287529094
480	6	146	280	349	1083	7.46576978732036
481	143	152	222	241	349	7.46566972582349
482	6	143	152	349	3444	7.46560680795475
483	143	152	266	280	349	7.46556125760506
484	203	241	349	668	1083	7.46549829351856
485	6	143	280	349	531	7.46543452121453
486	143	152	168	349	1073	7.46522302912368
487	146	152	349	1482	1592	7.46513967884691
488	6	143	152	349	2320	7.46513155795475
489	6	143	168	349	939	7.46503440910249
490	6	146	168	349	1028	7.46499343649624
491	6	14	146	168	349	7.46495756650642
492	6	146	152	349	1667	7.46492283364316
